Skills,Interests,CGPA,Experience,Career
Networking,Networking,3.2,No,Cyber Security Analyst
Next.js,Software Development,3.27,Yes,Frontend Developer
Firebase,Web Development,2.64,Yes,Mobile App Developer
AWS,Research,3.44,No,Cyber Security Analyst
Excel,Data Analytics,2.96,Yes,Data Analyst
Selenium,Web Development,3.21,No,QA Engineer
SQL,Software Development,3.13,Yes,Backend Developer
Excel,Data Science,3.35,Yes,Data Analyst
Terraform,Cloud Computing,3.68,Yes,Cloud Solutions Architect
Excel,Research,3.14,Yes,Data Scientist
Node.js,UI/UX Design,2.79,Yes,Frontend Developer
Python,Machine Learning,3.72,No,AI Engineer
Excel,Data Analytics,3.31,Yes,Data Analyst
REST APIs,Backend Development,3.11,No,Backend Developer
Flutter,Software Development,2.7,No,Flutter Developer
Docker,Automation,3.84,No,Cloud Engineer
Deep Learning,Robotics,3.97,Yes,AI Engineer
JavaScript,Mobile App Development,2.7,Yes,Flutter Developer
Figma,Mobile App Development,3.68,No,UI/UX Designer
REST APIs,Software Development,2.84,Yes,QA Engineer
Python,DevOps,2.89,Yes,System Administrator
Dart,Software Development,3.51,No,Flutter Developer
GitHub,Web Development,3.26,No,Software Engineer
Python,Software Development,3.15,No,Database Administrator
JavaScript,Web Development,3.61,Yes,Software Engineer
JavaScript,Web Development,3.48,No,Frontend Developer
AWS,Automation,3.26,No,Cloud Solutions Architect
Git,Automation,3.96,Yes,Machine Learning Engineer
Docker,Cloud Computing,2.93,Yes,Network Engineer
Networking,Networking,3.0,Yes,System Administrator
Firebase,Web Development,3.15,No,Mobile App Developer
Python,Research,3.42,No,Data Analyst
Flutter,Software Development,3.75,No,Mobile App Developer
UI/UX,UI/UX Design,3.69,Yes,UI/UX Designer
Azure,Automation,3.7,Yes,Cloud Solutions Architect
Docker,Research,3.87,Yes,AI Engineer
Azure,Automation,2.8,Yes,DevOps Engineer
GitHub,Cloud Computing,3.13,Yes,DevOps Engineer
Figma,UI/UX Design,2.98,No,Frontend Developer
MongoDB,Mobile App Development,3.59,Yes,Mobile App Developer
Node.js,Web Development,3.47,No,Full Stack Developer
HTML,Mobile App Development,2.81,No,UI/UX Designer
Java,Mobile App Development,3.67,Yes,Mobile App Developer
React,Web Development,3.73,Yes,Frontend Developer
SQL,Cloud Computing,3.42,Yes,System Administrator
Ethical Hacking,Networking,3.9,Yes,Cyber Security Analyst
PostgreSQL,Data Science,3.52,Yes,Business Intelligence Analyst
Bash,Cloud Computing,3.15,Yes,DevOps Engineer
Cloud Computing,Cloud Computing,3.78,Yes,Cloud Solutions Architect
Networking,Automation,3.26,Yes,Cloud Engineer
Python,Cloud Computing,3.43,Yes,System Administrator
PyTorch,Automation,3.73,No,Machine Learning Engineer
SQL,Software Development,2.8,Yes,Database Administrator
Excel,Software Development,3.99,Yes,Product Manager
AWS,Networking,3.46,No,Network Engineer
Pandas,Machine Learning,3.65,No,Data Scientist
Adobe XD,Mobile App Development,2.68,No,UI/UX Designer
Node.js,Software Development,2.87,No,Full Stack Developer
Docker,Cloud Computing,2.92,No,Network Engineer
C++,Automation,3.95,No,Software Engineer
AWS,Networking,2.73,No,System Administrator
Kubernetes,Automation,3.12,No,Cloud Engineer
Networking,Cloud Computing,3.1,Yes,Cyber Security Analyst
UI/UX,Mobile App Development,2.64,No,UI/UX Designer
SQL,Web Development,2.86,No,QA Engineer
GitHub,Web Development,3.54,Yes,Software Engineer
SQL,Business Intelligence,2.83,Yes,Data Analyst
Cyber Security,Cloud Computing,3.87,No,Cyber Security Analyst
Dart,Software Development,2.95,Yes,Flutter Developer
Python,Cloud Computing,2.94,No,Network Engineer
Python,Research,3.4,No,Business Analyst
SQL,Research,3.95,Yes,Data Analyst
MySQL,Software Development,3.47,No,Database Administrator
Azure,Networking,3.12,Yes,Cloud Engineer
SQL,Research,3.65,No,Cyber Security Analyst
SQL,Automation,3.58,No,QA Engineer
Figma,Web Development,3.56,No,UI/UX Designer
SQL,Networking,3.66,Yes,Network Engineer
Java,Software Development,2.97,Yes,Mobile App Developer
Docker,DevOps,3.17,Yes,Network Engineer
Networking,Networking,3.82,No,Cyber Security Analyst
Excel,Data Analytics,3.94,No,Data Analyst
Dart,Software Development,2.71,No,Mobile App Developer
Python,Data Analytics,3.21,No,Data Analyst
Git,Networking,3.05,No,Cyber Security Analyst
Python,Business Intelligence,3.01,Yes,Data Analyst
Python,Data Science,3.88,No,Machine Learning Engineer
REST APIs,Database Management,3.16,Yes,Backend Developer
MySQL,Software Development,3.66,No,Database Administrator
Git,Cyber Security,3.55,Yes,Cyber Security Analyst
AWS,Cloud Computing,3.06,No,System Administrator
JavaScript,Automation,3.7,No,QA Engineer
Networking,Cyber Security,3.51,Yes,Network Engineer
SQL,Research,2.96,No,Business Analyst
SQL,Artificial Intelligence,3.46,No,Machine Learning Engineer
Git,Web Development,2.8,No,Software Engineer
Python,Research,3.5,No,Data Analyst
MySQL,Backend Development,2.88,Yes,Backend Developer
TensorFlow,Machine Learning,3.55,No,AI Engineer
MongoDB,Software Development,2.87,Yes,Full Stack Developer
Python,Data Analytics,3.45,Yes,Product Manager
AWS,DevOps,3.89,No,Cloud Solutions Architect
Firebase,Mobile App Development,3.67,No,Flutter Developer
Python,Cloud Computing,3.2,Yes,Cloud Solutions Architect
Tableau,Data Analytics,2.83,No,Business Intelligence Analyst
Tableau,UI/UX Design,3.05,No,Product Manager
Tableau,Research,2.99,Yes,Data Analyst
Pandas,Machine Learning,3.51,No,Data Scientist
Tableau,Research,3.49,Yes,Business Analyst
Kubernetes,Networking,3.22,Yes,Cloud Solutions Architect
Git,Database Management,2.81,Yes,Backend Developer
Express.js,Software Development,2.82,No,Backend Developer
Docker,Machine Learning,3.98,No,Machine Learning Engineer
PyTorch,Artificial Intelligence,3.73,No,Machine Learning Engineer
JavaScript,Web Development,2.6,No,Mobile App Developer
Deep Learning,Machine Learning,3.92,No,Machine Learning Engineer
NumPy,Business Intelligence,3.69,No,Data Analyst
Next.js,Web Development,3.25,No,Frontend Developer
PostgreSQL,Software Development,3.3,Yes,Database Administrator
Docker,DevOps,3.51,No,Cloud Solutions Architect
Excel,Data Analytics,3.56,Yes,Data Analyst
Docker,Software Development,2.74,No,QA Engineer
AWS,Cloud Computing,3.52,No,Cyber Security Analyst
Deep Learning,Data Science,3.05,No,Data Scientist
Python,Artificial Intelligence,3.61,Yes,AI Engineer
Data Analysis,Research,3.57,No,Business Analyst
Data Analysis,Software Development,3.76,Yes,Product Manager
Bash,Cloud Computing,3.81,No,DevOps Engineer
Azure,Cloud Computing,3.41,Yes,Cloud Solutions Architect
Excel,UI/UX Design,3.56,Yes,Product Manager
Cloud Computing,Automation,3.22,Yes,Cloud Engineer
AWS,Cyber Security,3.43,Yes,Network Engineer
Data Analysis,Business Intelligence,3.1,Yes,Product Manager
Node.js,Database Management,3.62,Yes,Backend Developer
Tableau,Data Analytics,3.55,No,Data Analyst
Flutter,Web Development,2.91,No,Mobile App Developer
PostgreSQL,Software Development,2.77,Yes,Backend Developer
Figma,UI/UX Design,2.93,Yes,UI/UX Designer
Tableau,Data Analytics,2.99,No,Data Analyst
Data Analysis,Data Analytics,3.75,Yes,Business Intelligence Analyst
Linux,Cloud Computing,2.68,Yes,System Administrator
Figma,Software Development,3.14,Yes,Product Manager
Python,Software Development,3.35,No,Backend Developer
PostgreSQL,Database Management,3.02,Yes,Database Administrator
SQL,Cloud Computing,2.88,No,System Administrator
AWS,Automation,3.35,Yes,Cloud Solutions Architect
Linux,Data Analytics,2.97,No,Database Administrator
Power BI,Research,3.24,Yes,Data Analyst
JavaScript,Web Development,3.4,Yes,Full Stack Developer
MongoDB,Data Analytics,3.02,No,Database Administrator
Firebase,Web Development,3.26,No,Mobile App Developer
AWS,Machine Learning,3.63,No,Machine Learning Engineer
Git,Networking,3.06,Yes,Cloud Engineer
Deep Learning,Machine Learning,3.1,Yes,Data Scientist
CSS,Database Management,3.88,Yes,Full Stack Developer
REST APIs,Mobile App Development,3.75,No,Mobile App Developer
Pandas,Artificial Intelligence,3.06,Yes,Data Scientist
Data Science,Research,3.83,No,Data Scientist
NumPy,Machine Learning,3.82,Yes,Data Scientist
Git,Automation,2.65,Yes,QA Engineer
Networking,Automation,3.73,Yes,Cloud Solutions Architect
AWS,Artificial Intelligence,3.46,Yes,AI Engineer
Excel,Business Intelligence,2.86,No,Business Intelligence Analyst
MySQL,Database Management,3.19,Yes,Database Administrator
PyTorch,Machine Learning,3.42,Yes,AI Engineer
Linux,Networking,3.82,Yes,Cloud Solutions Architect
Python,Business Intelligence,3.39,No,Product Manager
Power BI,Data Analytics,3.56,No,Business Intelligence Analyst
Kubernetes,Networking,3.8,No,Cloud Engineer
JavaScript,Web Development,3.63,No,Frontend Developer
Power BI,Business Intelligence,3.35,Yes,Product Manager
REST APIs,Mobile App Development,3.69,Yes,Flutter Developer
JavaScript,Mobile App Development,3.64,No,UI/UX Designer
Terraform,Networking,3.62,Yes,Cloud Solutions Architect
SQL,Automation,3.04,Yes,QA Engineer
JavaScript,Web Development,2.68,No,QA Engineer
AWS,DevOps,3.78,Yes,Cloud Solutions Architect
MongoDB,Backend Development,3.54,No,Backend Developer
Ethical Hacking,Research,3.44,Yes,Cyber Security Analyst
GitHub,Web Development,3.02,No,Software Engineer
Python,Data Analytics,3.28,No,Business Analyst
Power BI,UI/UX Design,3.68,No,Product Manager
Tableau,Data Analytics,3.32,No,Business Intelligence Analyst
Express.js,Database Management,2.81,No,Backend Developer
GitHub,Software Development,3.4,No,DevOps Engineer
PyTorch,Automation,3.27,Yes,Machine Learning Engineer
PostgreSQL,Business Intelligence,3.71,Yes,Business Intelligence Analyst
Firebase,Software Development,3.54,No,Mobile App Developer
Security,DevOps,3.74,Yes,Cloud Solutions Architect
HTML,UI/UX Design,2.77,Yes,UI/UX Designer
Git,Automation,3.43,Yes,Cloud Engineer
SQL,Data Science,2.81,Yes,Business Intelligence Analyst
Power BI,Business Intelligence,3.66,Yes,Data Analyst
Figma,Web Development,2.75,No,UI/UX Designer
Docker,Software Development,3.32,Yes,QA Engineer
Terraform,DevOps,3.98,Yes,Cloud Solutions Architect
Terraform,Cloud Computing,3.03,Yes,Cloud Engineer
MongoDB,Software Development,3.1,Yes,Full Stack Developer
NumPy,Machine Learning,3.92,Yes,AI Engineer
AWS,Software Development,3.4,Yes,DevOps Engineer
Express.js,Software Development,3.2,Yes,Full Stack Developer
Firebase,Mobile App Development,3.76,Yes,Flutter Developer
Express.js,Software Development,3.43,No,Backend Developer
Python,Software Development,2.97,No,Database Administrator
Networking,Cloud Computing,2.83,Yes,DevOps Engineer
Oracle,Data Analytics,3.12,No,Database Administrator
GitHub,Cloud Computing,3.14,Yes,DevOps Engineer
JavaScript,Web Development,2.75,No,Frontend Developer
CSS,Web Development,3.71,No,UI/UX Designer
Kubernetes,Networking,3.61,No,Cloud Engineer
Networking,Networking,2.74,No,System Administrator
Express.js,Database Management,2.96,Yes,Backend Developer
Linux,Cloud Computing,2.95,Yes,System Administrator
AWS,Cyber Security,3.38,No,Network Engineer
Azure,Cloud Computing,3.1,Yes,DevOps Engineer
Git,Research,3.48,No,Software Engineer
Java,Mobile App Development,2.77,Yes,Mobile App Developer
Figma,UI/UX Design,3.19,No,Frontend Developer
HTML,Software Development,3.79,No,Frontend Developer
Machine Learning,Research,3.79,Yes,AI Engineer
Linux,Research,3.29,No,AI Engineer
Flutter,Mobile App Development,3.16,No,Flutter Developer
PyTorch,Data Science,3.97,Yes,Data Scientist
Git,Machine Learning,3.59,No,AI Engineer
Node.js,Software Development,3.26,No,Full Stack Developer
Photoshop,UI/UX Design,3.54,No,UI/UX Designer
Pandas,Business Intelligence,3.81,Yes,Business Analyst
Bash,Automation,3.62,No,System Administrator
Linux,Cyber Security,3.49,Yes,Cyber Security Analyst
MySQL,Data Analytics,3.68,Yes,Database Administrator
Java,Database Management,3.02,No,Backend Developer
Linux,DevOps,3.11,Yes,Cloud Engineer
Git,Web Development,3.44,Yes,Software Engineer
Python,Database Management,3.62,Yes,Backend Developer
Power BI,Data Science,3.28,Yes,Business Intelligence Analyst
Docker,Web Development,3.07,Yes,QA Engineer
NumPy,Research,3.86,Yes,AI Engineer
Power BI,Business Intelligence,2.9,Yes,Business Analyst
Node.js,Web Development,2.63,Yes,Frontend Developer
Deep Learning,Automation,3.04,No,Machine Learning Engineer
Azure,DevOps,3.9,No,Cloud Solutions Architect
SQL,Data Analytics,3.58,No,Database Administrator
REST APIs,Software Development,2.81,No,Software Engineer
Git,Software Development,3.28,No,DevOps Engineer
Deep Learning,Data Science,3.22,No,Data Scientist
Firebase,Software Development,3.36,No,Frontend Developer
CSS,UI/UX Design,3.44,Yes,UI/UX Designer
Azure,Automation,3.07,Yes,Cloud Engineer
Flutter,Mobile App Development,3.23,Yes,Mobile App Developer
Linux,Data Science,3.71,No,Machine Learning Engineer
Linux,DevOps,3.55,Yes,Cloud Solutions Architect
Data Analysis,Data Science,3.42,No,Business Intelligence Analyst
Excel,Machine Learning,3.49,Yes,Data Scientist
Cyber Security,DevOps,3.69,No,Network Engineer
Git,Robotics,3.84,No,AI Engineer
JavaScript,Software Development,2.99,Yes,Full Stack Developer
React,Software Development,3.62,Yes,Full Stack Developer
Docker,Cyber Security,3.98,Yes,Cyber Security Analyst
SQL,Data Science,3.82,No,Machine Learning Engineer
JavaScript,Software Development,2.82,Yes,Frontend Developer
PostgreSQL,Software Development,3.26,No,Database Administrator
Git,Web Development,2.61,No,QA Engineer
React,UI/UX Design,2.85,Yes,Frontend Developer
Docker,Networking,2.76,Yes,System Administrator
Networking,Cloud Computing,3.05,Yes,Cyber Security Analyst
SQL,Networking,2.86,No,Network Engineer
GitHub,DevOps,3.76,No,DevOps Engineer
Excel,Business Intelligence,3.95,Yes,Product Manager
Networking,Automation,3.55,Yes,Cloud Solutions Architect
Networking,Networking,3.4,Yes,Cloud Solutions Architect
SQL,Machine Learning,3.29,Yes,Machine Learning Engineer
React,Web Development,3.65,No,Frontend Developer
Linux,Automation,3.32,No,Software Engineer
Dart,Mobile App Development,3.18,No,Flutter Developer
Pandas,Machine Learning,3.66,Yes,Data Scientist
Linux,Cloud Computing,3.41,No,DevOps Engineer
MongoDB,Software Development,3.57,No,Database Administrator
Machine Learning,Data Science,3.83,No,Data Scientist
REST APIs,Mobile App Development,3.26,No,Mobile App Developer
Python,Software Development,3.48,No,Backend Developer
Tableau,Data Analytics,3.72,Yes,Business Analyst
Bash,DevOps,3.64,No,DevOps Engineer
GitHub,Research,2.92,Yes,Software Engineer
Docker,Networking,2.62,No,System Administrator
NumPy,Data Science,3.45,Yes,Data Scientist
HTML,UI/UX Design,3.43,Yes,UI/UX Designer
Express.js,Backend Development,3.13,Yes,Backend Developer
Docker,Cyber Security,3.45,Yes,Cyber Security Analyst
Excel,Research,3.85,Yes,Data Analyst
Express.js,Web Development,3.82,No,Full Stack Developer
Firebase,Mobile App Development,2.94,No,Flutter Developer
MongoDB,Software Development,3.22,No,Flutter Developer
SQL,Data Science,3.24,No,Data Analyst
HTML,Mobile App Development,3.74,Yes,UI/UX Designer
Docker,Cloud Computing,3.27,Yes,Cloud Engineer
Git,Database Management,2.77,Yes,Backend Developer
NumPy,Automation,3.77,Yes,Machine Learning Engineer
Cyber Security,Networking,3.04,Yes,Cyber Security Analyst
JavaScript,Automation,2.91,No,Software Engineer
JavaScript,Automation,3.48,Yes,Software Engineer
AWS,Automation,3.8,Yes,Cloud Solutions Architect
React,Software Development,3.17,Yes,Frontend Developer
AWS,DevOps,3.36,No,DevOps Engineer
SQL,Data Analytics,3.76,No,Database Administrator
Python,Data Analytics,3.53,Yes,Business Analyst
Linux,Cloud Computing,3.6,No,Network Engineer
Dart,Mobile App Development,3.04,Yes,Mobile App Developer
Cyber Security,Cyber Security,2.89,No,Network Engineer
Tableau,Data Analytics,3.53,Yes,Business Analyst
Azure,Automation,3.0,Yes,DevOps Engineer
MySQL,Backend Development,3.33,No,Backend Developer
Git,Automation,3.34,No,DevOps Engineer
REST APIs,Software Development,3.23,Yes,QA Engineer
Cloud Computing,Cloud Computing,3.75,No,Cloud Engineer
GitHub,Software Development,2.91,Yes,DevOps Engineer
Machine Learning,Machine Learning,3.83,Yes,AI Engineer
SQL,Data Science,3.61,No,Business Intelligence Analyst
Docker,Software Development,3.53,No,DevOps Engineer
Docker,Web Development,3.32,No,Full Stack Developer
Excel,Business Intelligence,3.06,No,Product Manager
Next.js,Software Development,3.21,Yes,Frontend Developer
Python,Software Development,2.86,Yes,Backend Developer
REST APIs,Software Development,2.63,Yes,Flutter Developer
SQL,Research,2.85,Yes,Data Analyst
Adobe XD,UI/UX Design,2.88,Yes,UI/UX Designer
Express.js,Backend Development,3.36,Yes,Backend Developer
Python,DevOps,3.24,No,Cloud Solutions Architect
Tableau,Business Intelligence,2.83,No,Data Analyst
SQL,Cloud Computing,3.2,No,Network Engineer
GitHub,Software Development,3.37,Yes,Software Engineer
SQL,Data Science,3.71,No,Machine Learning Engineer
Python,Cyber Security,3.42,Yes,Network Engineer
Linux,Cloud Computing,3.03,No,DevOps Engineer
MySQL,Data Analytics,3.1,Yes,Business Analyst
Ethical Hacking,Cloud Computing,3.38,No,Cyber Security Analyst
Python,Cloud Computing,4.0,Yes,Cloud Engineer
PyTorch,Artificial Intelligence,3.7,No,AI Engineer
Excel,Data Science,3.42,No,Business Intelligence Analyst
PostgreSQL,Database Management,2.83,Yes,Database Administrator
Docker,Cloud Computing,3.16,No,DevOps Engineer
Photoshop,Mobile App Development,3.33,Yes,UI/UX Designer
React,Mobile App Development,3.13,Yes,Mobile App Developer
Pandas,Data Analytics,3.42,Yes,Business Intelligence Analyst
Power BI,Data Science,3.44,Yes,Business Intelligence Analyst
Power BI,Machine Learning,3.68,No,Data Scientist
Git,Web Development,2.83,No,Software Engineer
Terraform,Cloud Computing,3.5,Yes,Cloud Solutions Architect
Excel,Business Intelligence,3.27,Yes,Business Intelligence Analyst
Pandas,Business Intelligence,2.86,Yes,Business Intelligence Analyst
React,Web Development,3.27,No,Mobile App Developer
Linux,Networking,3.0,Yes,Network Engineer
Excel,Data Analytics,3.12,Yes,Business Intelligence Analyst
Data Science,Machine Learning,3.96,No,Data Scientist
MySQL,Database Management,3.36,No,Database Administrator
MySQL,Business Intelligence,3.31,Yes,Business Intelligence Analyst
Docker,Networking,3.63,No,Cyber Security Analyst
Kubernetes,Software Development,3.52,No,DevOps Engineer
Python,Automation,3.26,Yes,System Administrator
Data Analysis,Data Analytics,3.08,No,Business Intelligence Analyst
MySQL,Software Development,3.31,No,Backend Developer
Data Analysis,Research,3.21,Yes,Business Analyst
Dart,Mobile App Development,3.59,No,Flutter Developer
C++,Software Development,3.72,No,Software Engineer
Linux,Database Management,3.63,No,Backend Developer
Azure,DevOps,3.15,No,Cloud Engineer
Linux,Cloud Computing,3.88,No,DevOps Engineer
MongoDB,Software Development,3.85,Yes,Database Administrator
Linux,Cloud Computing,3.09,Yes,System Administrator
AWS,Cloud Computing,3.0,Yes,System Administrator
Oracle,Data Analytics,3.7,No,Database Administrator
Docker,Cloud Computing,3.46,Yes,Network Engineer
Machine Learning,Artificial Intelligence,3.58,No,AI Engineer
Python,Data Analytics,3.34,No,Product Manager
PostgreSQL,Business Intelligence,3.31,No,Business Intelligence Analyst
Python,Business Intelligence,3.65,No,Business Analyst
Python,Business Intelligence,3.45,Yes,Data Analyst
AWS,Cloud Computing,3.4,No,Cyber Security Analyst
Pandas,Artificial Intelligence,3.24,No,Data Scientist
Linux,Networking,3.89,Yes,Cyber Security Analyst
Data Analysis,Business Intelligence,3.43,No,Business Intelligence Analyst
JavaScript,Automation,3.15,No,QA Engineer
Kubernetes,DevOps,2.95,Yes,Cloud Engineer
Photoshop,UI/UX Design,3.01,No,UI/UX Designer
Tableau,Business Intelligence,3.4,Yes,Business Intelligence Analyst
CI/CD,DevOps,3.18,No,DevOps Engineer
Git,DevOps,3.52,No,Cloud Engineer
Node.js,Software Development,3.36,Yes,Full Stack Developer
Python,Artificial Intelligence,3.65,No,Data Scientist
MongoDB,Software Development,2.99,No,Database Administrator
Docker,DevOps,3.75,Yes,DevOps Engineer
Git,Web Development,2.78,No,Frontend Developer
Dart,Software Development,3.55,No,Mobile App Developer
JavaScript,Mobile App Development,3.29,No,Flutter Developer
Pandas,Data Analytics,3.03,No,Business Analyst
Data Science,Research,3.55,No,Data Analyst
MySQL,Research,3.78,No,Business Analyst
AWS,DevOps,3.43,No,Network Engineer
Bash,Automation,3.07,No,DevOps Engineer
Git,DevOps,3.31,Yes,DevOps Engineer
Figma,UI/UX Design,3.34,No,UI/UX Designer
Power BI,Data Science,3.28,No,Data Scientist
Linux,Software Development,3.92,Yes,Software Engineer
Next.js,Software Development,3.69,No,Frontend Developer
Kubernetes,DevOps,3.71,Yes,Cloud Solutions Architect
CI/CD,Software Development,3.75,Yes,DevOps Engineer
Docker,Automation,3.85,Yes,Cloud Solutions Architect
MongoDB,Mobile App Development,3.26,Yes,Mobile App Developer
JavaScript,Web Development,3.56,Yes,QA Engineer
Terraform,Networking,3.91,Yes,Cloud Solutions Architect
Pandas,Machine Learning,3.4,No,Machine Learning Engineer
Python,Business Intelligence,3.35,Yes,Business Analyst
Dart,Software Development,2.83,No,Flutter Developer
Data Analysis,Business Intelligence,3.82,Yes,Product Manager
Next.js,Web Development,3.51,Yes,Frontend Developer
Photoshop,Web Development,3.65,Yes,UI/UX Designer
Git,Mobile App Development,3.22,No,Flutter Developer
Azure,DevOps,3.37,No,Cloud Engineer
AWS,Data Science,3.16,No,Machine Learning Engineer
Python,Artificial Intelligence,3.81,Yes,AI Engineer
React,Software Development,3.63,No,Mobile App Developer
Docker,DevOps,3.86,No,DevOps Engineer
CSS,Web Development,2.55,No,UI/UX Designer
Firebase,Mobile App Development,2.85,No,Flutter Developer
Python,Automation,3.45,No,Cloud Solutions Architect
JavaScript,Web Development,3.91,Yes,Software Engineer
Python,Cyber Security,3.67,No,Cyber Security Analyst
SQL,Web Development,3.49,Yes,QA Engineer
Cyber Security,Research,3.49,No,Cyber Security Analyst
Azure,Networking,3.46,No,Cloud Solutions Architect
Azure,Software Development,3.74,Yes,DevOps Engineer
Pandas,Automation,3.48,No,Machine Learning Engineer
MySQL,Business Intelligence,3.33,No,Business Intelligence Analyst
Git,Robotics,3.66,Yes,AI Engineer
REST APIs,Research,3.2,Yes,Software Engineer
Security,Networking,3.69,Yes,Cloud Solutions Architect
JavaScript,Software Development,3.43,Yes,Software Engineer
Python,Research,3.08,Yes,Data Analyst
Oracle,Database Management,3.79,Yes,Database Administrator
SQL,Data Analytics,3.52,No,Business Analyst
Cyber Security,Cloud Computing,3.35,Yes,Network Engineer
Cyber Security,Cyber Security,3.52,No,Cyber Security Analyst
AWS,Automation,3.11,Yes,Cloud Engineer
CI/CD,Automation,3.77,No,DevOps Engineer
NumPy,Automation,3.74,No,Machine Learning Engineer
Linux,Artificial Intelligence,3.79,No,AI Engineer
Power BI,Business Intelligence,2.98,Yes,Business Analyst
Git,Networking,3.98,No,Cyber Security Analyst
Linux,Cyber Security,3.87,No,Cyber Security Analyst
Linux,Machine Learning,3.01,No,Machine Learning Engineer
Deep Learning,Automation,3.56,No,Machine Learning Engineer
Linux,Cyber Security,3.68,No,Network Engineer
Power BI,Data Analytics,3.88,Yes,Business Analyst
Oracle,Software Development,3.89,No,Database Administrator
Git,Networking,3.21,Yes,Cyber Security Analyst
Next.js,UI/UX Design,3.3,No,Frontend Developer
Figma,UI/UX Design,3.15,No,Product Manager
Bash,Cloud Computing,2.73,Yes,System Administrator
Git,Software Development,3.67,Yes,DevOps Engineer
Linux,Artificial Intelligence,3.77,No,AI Engineer
Python,Cloud Computing,3.31,No,Cyber Security Analyst
MongoDB,Software Development,3.43,Yes,Mobile App Developer
Linux,Backend Development,3.04,No,Backend Developer
SQL,Cloud Computing,3.12,Yes,System Administrator
Express.js,Backend Development,3.24,No,Backend Developer
Pandas,Business Intelligence,3.72,Yes,Data Analyst
REST APIs,Mobile App Development,3.54,Yes,Flutter Developer
Data Analysis,Business Intelligence,3.04,No,Business Analyst
Photoshop,Web Development,3.54,No,UI/UX Designer
Networking,Networking,3.57,No,System Administrator
Kubernetes,Cloud Computing,3.55,No,Cloud Engineer
Networking,Networking,3.39,No,System Administrator
MongoDB,Web Development,3.69,No,Full Stack Developer
AWS,Cloud Computing,3.22,Yes,Network Engineer
Firebase,Mobile App Development,3.47,Yes,Mobile App Developer
Python,Robotics,3.52,No,AI Engineer
Networking,Cyber Security,3.12,No,Network Engineer
Kubernetes,Networking,3.32,Yes,System Administrator
SQL,Business Intelligence,2.88,No,Business Analyst
Node.js,Database Management,3.56,Yes,Backend Developer
SQL,Automation,3.51,No,QA Engineer
NumPy,Artificial Intelligence,3.8,No,Data Scientist
PostgreSQL,Software Development,3.62,Yes,Database Administrator
Tableau,Data Analytics,3.96,Yes,Product Manager
Power BI,Data Analytics,2.84,Yes,Data Analyst
Kubernetes,Automation,3.64,Yes,Cloud Solutions Architect
Node.js,Software Development,3.08,Yes,Full Stack Developer
AWS,Machine Learning,3.04,No,Machine Learning Engineer
Cyber Security,DevOps,2.78,Yes,Network Engineer
HTML,UI/UX Design,2.94,No,Frontend Developer
TypeScript,Web Development,2.93,No,Full Stack Developer
Tableau,UI/UX Design,3.63,Yes,Product Manager
CSS,Mobile App Development,3.45,Yes,UI/UX Designer
Node.js,Backend Development,3.22,No,Backend Developer
Pandas,Business Intelligence,2.96,Yes,Business Analyst
MySQL,Research,3.09,No,Business Analyst
Java,Automation,3.48,Yes,Software Engineer
Kubernetes,DevOps,3.73,Yes,Cloud Solutions Architect
REST APIs,Backend Development,3.54,No,Backend Developer
SQL,UI/UX Design,3.13,Yes,Product Manager
AWS,DevOps,2.72,Yes,System Administrator
SQL,Data Analytics,3.21,No,Database Administrator
Next.js,UI/UX Design,3.6,Yes,Frontend Developer
Power BI,Data Analytics,3.37,No,Business Analyst
Firebase,Web Development,3.59,Yes,Frontend Developer
Dart,Mobile App Development,3.18,Yes,Mobile App Developer
Python,Cloud Computing,3.07,Yes,System Administrator
SQL,Database Management,3.23,No,Database Administrator
Kubernetes,Automation,3.67,Yes,Cloud Solutions Architect
Python,Business Intelligence,3.16,No,Business Analyst
JavaScript,Mobile App Development,3.62,No,Flutter Developer
Tableau,Research,3.59,Yes,Data Analyst
UI/UX,UI/UX Design,3.02,No,UI/UX Designer
TypeScript,Web Development,3.7,Yes,Frontend Developer
PostgreSQL,Data Analytics,3.42,Yes,Database Administrator
MySQL,Backend Development,3.25,Yes,Backend Developer
Excel,Data Science,3.24,Yes,Business Intelligence Analyst
Data Science,Artificial Intelligence,3.16,Yes,Data Scientist
Docker,DevOps,3.07,Yes,System Administrator
Cyber Security,Cloud Computing,3.1,Yes,Cyber Security Analyst
SQL,Software Development,3.52,Yes,QA Engineer
Next.js,Software Development,2.74,No,Frontend Developer
React,Web Development,3.31,Yes,UI/UX Designer
CI/CD,Automation,3.72,No,DevOps Engineer
Pandas,Data Science,3.29,Yes,Data Scientist
Data Analysis,Research,2.88,No,Business Analyst
Node.js,Software Development,3.5,Yes,Full Stack Developer
AWS,Automation,3.51,Yes,DevOps Engineer
Linux,Research,3.35,Yes,Cyber Security Analyst
PostgreSQL,Business Intelligence,2.86,Yes,Data Analyst
Pandas,Data Analytics,3.51,Yes,Database Administrator
REST APIs,Software Development,3.18,Yes,QA Engineer
Oracle,Data Analytics,3.72,Yes,Database Administrator
Selenium,Software Development,2.94,Yes,QA Engineer
Tableau,Artificial Intelligence,3.12,No,Data Scientist
REST APIs,Software Development,2.82,No,Flutter Developer
MySQL,Software Development,3.85,No,Database Administrator
MySQL,Data Science,3.17,No,Data Analyst
